# BUSCO version is: 5.4.6 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1799923at2	Complete	NODE_204_length_807_cov_1.644947	261	629	+	130.7	103	https://v10-1.orthodb.org/?query=1799923at2	Ribosomal protein L14P
1822215at2	Fragmented	NODE_883_length_387_cov_0.948795	1	387	+	108.7	92	https://v10-1.orthodb.org/?query=1822215at2	Ribosomal protein L13
1822695at2	Fragmented	NODE_1401_length_274_cov_1.027397	1	273	+	78.8	66	https://v10-1.orthodb.org/?query=1822695at2	Ribosomal protein L7/L12
1827295at2	Missing
1827334at2	Missing
1830156at2	Missing
1838961at2	Fragmented	NODE_1400_length_274_cov_1.118721	44	274	-	48.1	50	https://v10-1.orthodb.org/?query=1838961at2	Ribosomal protein L17
1842956at2	Missing
1844275at2	Fragmented	NODE_307_length_690_cov_1.133858	3	647	+	97.7	131	https://v10-1.orthodb.org/?query=1844275at2	Aspartate carbamoyltransferase
1846503at2	Missing
1874945at2	Missing
1890943at2	Complete	NODE_706_length_443_cov_1.623711	2	442	-	72.1	97	https://v10-1.orthodb.org/?query=1890943at2	ribonuclease III
1893906at2	Complete	NODE_10_length_1922_cov_1.976433	1382	1663	+	125.7	71	https://v10-1.orthodb.org/?query=1893906at2	Ribosomal protein S19, bacterial-type
1904463at2	Missing
1906715at2	Fragmented	NODE_1605_length_244_cov_1.883598	178	243	-	16.6	17	https://v10-1.orthodb.org/?query=1906715at2	Protein GrpE
1932144at2	Complete	NODE_340_length_662_cov_1.742998	301	654	+	113.8	92	https://v10-1.orthodb.org/?query=1932144at2	Ribosomal protein L20
1937072at2	Complete	NODE_402_length_602_cov_1.396709	382	600	-	91.8	64	https://v10-1.orthodb.org/?query=1937072at2	Ribosomal protein S16
1937493at2	Missing
1940575at2	Complete	NODE_1790_length_221_cov_1.355422	2	220	-	73.3	47	https://v10-1.orthodb.org/?query=1940575at2	Ribosomal protein S18
1949059at2	Missing
1959318at2	Missing
1963491at2	Complete	NODE_357_length_641_cov_1.305461	314	640	-	92.3	101	https://v10-1.orthodb.org/?query=1963491at2	Ribosomal protein L18
1971380at2	Missing
1978865at2	Complete	NODE_10_length_1922_cov_1.976433	267	548	+	59.0	82	https://v10-1.orthodb.org/?query=1978865at2	Ribosomal protein L25/L23
1990141at2	Missing
1990650at2	Missing
2005443at2	Fragmented	NODE_1762_length_223_cov_1.744048	35	223	+	24.4	41	https://v10-1.orthodb.org/?query=2005443at2	Ribosomal protein S20
2012682at2	Complete	NODE_133_length_960_cov_2.264088	97	408	+	110.9	86	https://v10-1.orthodb.org/?query=2012682at2	Ribosomal protein S10
2035880at2	Complete	NODE_204_length_807_cov_1.644947	10	261	+	51.6	55	https://v10-1.orthodb.org/?query=2035880at2	Ribosomal protein S17/S11
2040741at2	Missing
2046660at2	Complete	NODE_340_length_662_cov_1.742998	16	207	+	22.4	28	https://v10-1.orthodb.org/?query=2046660at2	Ribosomal protein L35
2063644at2	Fragmented	NODE_465_length_560_cov_1.994059	10	195	-	20.6	16	https://v10-1.orthodb.org/?query=2063644at2	Ribosomal protein L29/L35
2066663at2	Complete	NODE_285_length_705_cov_1.315385	133	351	+	83.0	56	https://v10-1.orthodb.org/?query=2066663at2	Translation initiation factor IF-1
2075502at2	Missing
